Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,Position,Height,Weight
L. Messi,31,Argentina,94,FC Barcelona,€110.5M,€565K,Left,RF,5.7,159
Cristiano Ronaldo,33,Portugal,94,Juventus,€77M,€405K,Right,ST,6.2,183
Neymar Jr,26,Brazil,92,Paris Saint-Germain,€118.5M,€290K,Right,LW,5.9,150
De Gea,27,Spain,91,Manchester United,€72M,€260K,Right,GK,6.4,168
K. De Bruyne,27,Belgium,91,Manchester City,€102M,€355K,Right,RCM,5.97,154
E. Hazard,27,Belgium,91,Chelsea,€93M,€340K,Right,LF,5.8,163
L. Modrić,32,Croatia,91,Real Madrid,€67M,€420K,Right,RCM,5.8,146
L. Suárez,31,Uruguay,91,FC Barcelona,€80M,€455K,Right,RS,6.0,190
Sergio Ramos,32,Spain,91,Real Madrid,€51M,€380K,Right,RCB,6.0,181
J. Oblak,25,Slovenia,90,Atlético Madrid,€68M,€94K,Right,GK,6.2,192
R. Lewandowski,29,Poland,90,FC Bayern München,€77M,€205K,Right,ST,6.0,176
T. Kroos,28,Germany,90,Real Madrid,€76.5M,€355K,Right,LCM,6.0,168
D. Godín,32,Uruguay,90,Atlético Madrid,€44M,€125K,Right,CB,6.2,172
David Silva,32,Spain,90,Manchester City,€60M,€285K,Left,LCM,5.8,148
N. Kanté,27,France,89,Chelsea,€63M,€225K,Right,LDM,5.6,159
P. Dybala,24,Argentina,89,Juventus,€89M,€205K,Left,LF,5.93,165
H. Kane,24,England,89,Tottenham Hotspur,€83.5M,€205K,Right,ST,6.2,196
A. Griezmann,27,France,89,Atlético Madrid,€78M,€145K,Left,CAM,5.9,161
M. ter Stegen,26,Germany,89,FC Barcelona,€58M,€240K,Right,GK,6.2,187
T. Courtois,26,Belgium,89,Real Madrid,€53.5M,€240K,Left,GK,6.6,212
Sergio Busquets,29,Spain,89,FC Barcelona,€51.5M,€315K,Right,CDM,6.2,168
E. Cavani,31,Uruguay,89,Paris Saint-Germain,€60M,€200K,Right,LS,6.1,170
M. Neuer,32,Germany,89,FC Bayern München,€38M,€130K,Right,GK,6.4,203
S. Agüero,30,Argentina,89,Manchester City,€64.5M,€300K,Right,ST,5.8,154
G. Chiellini,33,Italy,89,Juventus,€27M,€215K,Left,LCB,6.2,187
K. Mbappé,19,France,88,Paris Saint-Germain,€81M,€100K,Right,RM,5.93,161
M. Salah,26,Egypt,88,Liverpool,€69.5M,€255K,Left,RM,5.9,157
Casemiro,26,Brazil,88,Real Madrid,€59.5M,€285K,Right,CDM,6.1,185
J. Rodríguez,26,Colombia,88,FC Bayern München,€69.5M,€315K,Left,LAM,5.97,172
L. Insigne,27,Italy,88,Napoli,€62M,€165K,Right,LW,5.4,130
Isco,26,Spain,88,Real Madrid,€73.5M,€315K,Right,LW,5.9,174
C. Eriksen,26,Denmark,88,Tottenham Hotspur,€73.5M,€205K,Right,CAM,5.97,168
